alg,file,hyfd_fd,gpt_fd,gpt_fd(unique),generalizzazioni,generalizzazioni(unique),specializzazioni,specializzazioni(unique),hyfd_coperte_spec,errate(no coumuni/spec/gen),errate(no comuni/spec),TP,FP,FN,accuracy(min),precision(min),recall(min),f1score(min),TP(valide),FP(valide),FN(valide),accuracy(valide),precision(valide),recall(valide),f1score(valide)
anova,abalone,137,65,65,490,65,0,0,0,0,65,0,65,137,0.0000,0.0000,0.0000,0.0000,0,65,137,0.0000,0.0000,0.0000,0.0000
anova,adult,78,194,194,407,41,0,0,0,151,192,2,192,76,0.0074,0.0103,0.0256,0.0147,2,192,76,0.0074,0.0103,0.0256,0.0147
anova,chess,1,26,26,6,6,0,0,0,20,26,0,26,1,0.0000,0.0000,0.0000,0.0000,0,26,1,0.0000,0.0000,0.0000,0.0000
anova,customer_shopping_data,21,6,6,2,2,0,0,0,2,4,2,4,19,0.0800,0.3333,0.0952,0.1481,2,4,19,0.0800,0.3333,0.0952,0.1481
anova,electricity-normalized,61,66,66,220,50,0,0,0,16,66,0,66,61,0.0000,0.0000,0.0000,0.0000,0,66,61,0.0000,0.0000,0.0000,0.0000
anova,firewall,88,124,124,305,57,0,0,0,67,124,0,124,88,0.0000,0.0000,0.0000,0.0000,0,124,88,0.0000,0.0000,0.0000,0.0000
anova,fraudfull,38,60,60,68,30,0,0,0,30,60,0,60,38,0.0000,0.0000,0.0000,0.0000,0,60,38,0.0000,0.0000,0.0000,0.0000
anova,letter,61,271,271,681,15,0,0,0,256,271,0,271,61,0.0000,0.0000,0.0000,0.0000,0,271,61,0.0000,0.0000,0.0000,0.0000
anova,nursery,1,13,13,7,7,0,0,0,6,13,0,13,1,0.0000,0.0000,0.0000,0.0000,0,13,1,0.0000,0.0000,0.0000,0.0000
anova,poker-hand,1,52,52,5,5,0,0,0,47,52,0,52,1,0.0000,0.0000,0.0000,0.0000,0,52,1,0.0000,0.0000,0.0000,0.0000
anova,sgemm_product_rounded,4,184,184,52,52,0,0,0,132,184,0,184,4,0.0000,0.0000,0.0000,0.0000,0,184,4,0.0000,0.0000,0.0000,0.0000
apriori,abalone,137,1657,1657,138,75,0,0,0,1489,1564,93,1564,44,0.0547,0.0561,0.6788,0.1037,93,1564,44,0.0547,0.0561,0.6788,0.1037
apriori,adult,78,30,30,101,13,0,0,0,17,30,0,30,78,0.0000,0.0000,0.0000,0.0000,0,30,78,0.0000,0.0000,0.0000,0.0000
apriori,chess,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000
apriori,customer_shopping_data,21,7,7,0,0,0,0,0,7,7,0,7,21,0.0000,0.0000,0.0000,0.0000,0,7,21,0.0000,0.0000,0.0000,0.0000
apriori,electricity-normalized,61,1224,1224,19,11,0,0,0,1168,1179,45,1179,16,0.0363,0.0368,0.7377,0.0700,45,1179,16,0.0363,0.0368,0.7377,0.0700
apriori,firewall,88,0,0,0,0,0,0,0,0,0,0,0,88,0.0000,0.0000,0.0000,0.0000,0,0,88,0.0000,0.0000,0.0000,0.0000
apriori,fraudfull,38,0,0,0,0,0,0,0,0,0,0,0,38,0.0000,0.0000,0.0000,0.0000,0,0,38,0.0000,0.0000,0.0000,0.0000
apriori,letter,61,0,0,0,0,0,0,0,0,0,0,0,61,0.0000,0.0000,0.0000,0.0000,0,0,61,0.0000,0.0000,0.0000,0.0000
apriori,nursery,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000
apriori,poker-hand,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000
apriori,sgemm_product_rounded,4,65532,65532,0,0,0,0,0,65532,65532,0,65532,4,0.0000,0.0000,0.0000,0.0000,0,65532,4,0.0000,0.0000,0.0000,0.0000
corr_reg,abalone,137,38,38,316,38,0,0,0,0,38,0,38,137,0.0000,0.0000,0.0000,0.0000,0,38,137,0.0000,0.0000,0.0000,0.0000
corr_reg,adult,78,0,0,0,0,0,0,0,0,0,0,0,78,0.0000,0.0000,0.0000,0.0000,0,0,78,0.0000,0.0000,0.0000,0.0000
corr_reg,chess,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000
corr_reg,customer_shopping_data,21,0,0,0,0,0,0,0,0,0,0,0,21,0.0000,0.0000,0.0000,0.0000,0,0,21,0.0000,0.0000,0.0000,0.0000
corr_reg,electricity-normalized,61,0,0,0,0,0,0,0,0,0,0,0,61,0.0000,0.0000,0.0000,0.0000,0,0,61,0.0000,0.0000,0.0000,0.0000
corr_reg,firewall,88,22,22,131,19,0,0,0,3,22,0,22,88,0.0000,0.0000,0.0000,0.0000,0,22,88,0.0000,0.0000,0.0000,0.0000
corr_reg,fraudfull,38,4,4,7,3,0,0,0,1,4,0,4,38,0.0000,0.0000,0.0000,0.0000,0,4,38,0.0000,0.0000,0.0000,0.0000
corr_reg,letter,61,4,4,0,0,0,0,0,4,4,0,4,61,0.0000,0.0000,0.0000,0.0000,0,4,61,0.0000,0.0000,0.0000,0.0000
corr_reg,nursery,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000
corr_reg,poker-hand,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000
corr_reg,sgemm_product_rounded,4,12,12,0,0,0,0,0,12,12,0,12,4,0.0000,0.0000,0.0000,0.0000,0,12,4,0.0000,0.0000,0.0000,0.0000
linear_reg,abalone,137,8,8,0,0,112,8,112,0,0,0,8,137,0.0000,0.0000,0.0000,0.0000,112,0,25,0.8175,1.0000,0.8175,0.8996
linear_reg,adult,78,0,0,0,0,0,0,0,0,0,0,0,78,0.0000,0.0000,0.0000,0.0000,0,0,78,0.0000,0.0000,0.0000,0.0000
linear_reg,chess,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000
linear_reg,customer_shopping_data,21,0,0,0,0,0,0,0,0,0,0,0,21,0.0000,0.0000,0.0000,0.0000,0,0,21,0.0000,0.0000,0.0000,0.0000
linear_reg,electricity-normalized,61,3,3,0,0,27,3,27,0,0,0,3,61,0.0000,0.0000,0.0000,0.0000,27,0,34,0.4426,1.0000,0.4426,0.6136
linear_reg,firewall,88,8,8,0,0,85,6,85,2,2,0,8,88,0.0000,0.0000,0.0000,0.0000,85,2,3,0.9444,0.9770,0.9659,0.9714
linear_reg,fraudfull,38,7,7,0,0,24,6,24,1,1,0,7,38,0.0000,0.0000,0.0000,0.0000,24,1,14,0.6154,0.9600,0.6316,0.7619
linear_reg,letter,61,8,8,0,0,0,0,0,8,8,0,8,61,0.0000,0.0000,0.0000,0.0000,0,8,61,0.0000,0.0000,0.0000,0.0000
linear_reg,nursery,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000
linear_reg,poker-hand,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000
linear_reg,sgemm_product_rounded,4,4,4,0,0,4,4,4,0,0,0,4,4,0.0000,0.0000,0.0000,0.0000,4,0,0,1.0000,1.0000,1.0000,1.0000
subset_gen,abalone,137,1,1,5,1,0,0,0,0,1,0,1,137,0.0000,0.0000,0.0000,0.0000,0,1,137,0.0000,0.0000,0.0000,0.0000
subset_gen,adult,78,0,0,0,0,0,0,0,0,0,0,0,78,0.0000,0.0000,0.0000,0.0000,0,0,78,0.0000,0.0000,0.0000,0.0000
subset_gen,chess,1,3,3,1,1,0,0,0,2,3,0,3,1,0.0000,0.0000,0.0000,0.0000,0,3,1,0.0000,0.0000,0.0000,0.0000
subset_gen,customer_shopping_data,21,40,29,2,2,0,0,0,27,29,0,29,21,0.0000,0.0000,0.0000,0.0000,0,29,21,0.0000,0.0000,0.0000,0.0000
subset_gen,electricity-normalized,61,50,28,60,16,0,0,0,12,28,0,28,61,0.0000,0.0000,0.0000,0.0000,0,28,61,0.0000,0.0000,0.0000,0.0000
subset_gen,firewall,88,41785,1813,283,105,0,0,0,1700,1805,8,1805,80,0.0042,0.0044,0.0909,0.0084,8,1805,80,0.0042,0.0044,0.0909,0.0084
subset_gen,fraudfull,38,1780,312,80,45,0,0,0,267,312,0,312,38,0.0000,0.0000,0.0000,0.0000,0,312,38,0.0000,0.0000,0.0000,0.0000
subset_gen,letter,61,310,120,0,0,0,0,0,120,120,0,120,61,0.0000,0.0000,0.0000,0.0000,0,120,61,0.0000,0.0000,0.0000,0.0000
subset_gen,nursery,1,89,63,7,7,0,0,0,56,63,0,63,1,0.0000,0.0000,0.0000,0.0000,0,63,1,0.0000,0.0000,0.0000,0.0000
subset_gen,poker-hand,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000
subset_gen,sgemm_product_rounded,4,0,0,0,0,0,0,0,0,0,0,0,4,0.0000,0.0000,0.0000,0.0000,0,0,4,0.0000,0.0000,0.0000,0.0000
pairw,abalone,137,0,0,0,0,0,0,0,0,0,0,0,137,0.0000,0.0000,0.0000,0.0000,0,0,137,0.0000,0.0000,0.0000,0.0000
pairw,adult,78,2,2,0,0,0,0,0,0,0,2,0,76,0.0256,1.0000,0.0256,0.0500,2,0,76,0.0256,1.0000,0.0256,0.0500
pairw,chess,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000
pairw,customer_shopping_data,21,20,20,0,0,0,0,0,0,0,20,0,1,0.9524,1.0000,0.9524,0.9756,20,0,1,0.9524,1.0000,0.9524,0.9756
pairw,electricity-normalized,61,0,0,0,0,0,0,0,0,0,0,0,61,0.0000,0.0000,0.0000,0.0000,0,0,61,0.0000,0.0000,0.0000,0.0000
pairw,firewall,88,0,0,0,0,0,0,0,0,0,0,0,88,0.0000,0.0000,0.0000,0.0000,0,0,88,0.0000,0.0000,0.0000,0.0000
pairw,fraudfull,38,19,19,0,0,0,0,0,10,10,9,10,29,0.1875,0.4737,0.2368,0.3158,9,10,29,0.1875,0.4737,0.2368,0.3158
pairw,letter,61,0,0,0,0,0,0,0,0,0,0,0,61,0.0000,0.0000,0.0000,0.0000,0,0,61,0.0000,0.0000,0.0000,0.0000
pairw,nursery,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000
pairw,poker-hand,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0.0000
pairw,sgemm_product_rounded,4,0,0,0,0,0,0,0,0,0,0,0,4,0.0000,0.0000,0.0000,0.0000,0,0,4,0.0000,0.0000,0.0000,0.0000
tane,abalone,137,9,9,0,0,137,9,137,0,0,0,9,137,0.0000,0.0000,0.0000,0.0000,137,0,0,1.0000,1.0000,1.0000,1.0000
tane,adult,78,15,15,0,0,78,6,78,9,9,0,15,78,0.0000,0.0000,0.0000,0.0000,78,9,0,0.8966,0.8966,1.0000,0.9455
